Episode,PPO mean,PPO std,Double DQN mean,Double DQN std,DQN mean,DQN std,Q-learning mean,Q-learning std
3600,18.1133,1.3529,9.3567,0.2101,7.3767,0.1517,9.7767,0.5431
3625,17.84,1.3678,9.3733,0.8311,7.4,0.1152,9.6367,0.2829
3650,17.5867,1.9137,9.48,0.7015,7.4733,0.1642,9.3133,0.1109
3675,17.17,0.8784,10.06,0.5097,7.73,0.1314,9.7667,0.4662
3700,16.21,2.5177,9.52,0.2596,7.4467,0.3021,9.5767,0.5047
3725,16.9533,3.4712,9.36,0.2998,7.4967,0.3646,9.79,0.4724
3750,17.3133,3.4409,9.3733,0.2824,7.5467,0.3655,9.84,0.4673
3775,17.18,2.9848,8.4233,0.7544,7.15,0.4596,9.3967,0.494
3800,17.8867,3.0473,8.96,0.7284,7.4067,0.6127,9.2333,0.4739
3825,17.4533,0.8987,8.8967,0.7333,7.35,0.7192,9.3267,0.8345
3850,17.29,0.5617,8.7333,0.529,7.3433,0.5191,9.47,0.8149
3875,17.94,1.0559,9.3567,0.703,7.7367,0.4282,9.5067,0.5465
3900,17.81,1.1973,9.1833,0.4483,7.57,0.3677,10.0733,0.3872
3925,18.5367,2.6286,9.1533,0.7957,7.69,0.5021,10.0167,0.4542
3950,18.24,3.509,9.2467,0.3994,7.6367,0.6968,9.9267,0.4799
3975,18.2367,2.5592,8.89,0.1791,7.5733,0.5432,10.0267,0.2645
4000,18.2633,1.7076,8.52,0.4972,7.5867,0.7622,9.7067,0.3266
4025,17.64,0.9596,8.7267,0.1915,7.5133,0.6133,9.7133,0.5332
4050,17.7833,0.6054,8.5267,0.6088,7.36,0.5728,9.7,0.3121
4075,17.6833,0.6035,8.4533,0.5823,7.07,0.594,9.72,0.0942
4100,17.32,0.55,8.7333,0.4905,7.0633,0.5322,9.8033,0.4913
4125,16.87,0.927,8.44,0.3069,7.0267,0.6116,9.34,0.5058
4150,16.7933,0.8095,8.6733,0.5302,7.1833,0.6229,9.62,0.2299
4175,16.0467,1.3702,8.9133,0.8367,7.1467,0.6866,9.36,0.2434
4200,17.1233,1.0107,8.8367,0.4654,7.04,0.3942,9.5933,0.7554
4225,16.8867,0.8726,9.11,0.4295,7.21,0.1134,9.7767,0.5439
4250,16.5533,0.6608,9.2967,0.2089,7.4767,0.4043,10.0133,0.7114
4275,17.7533,1.2383,9.47,0.4965,7.74,0.5389,10.27,0.7226
4300,15.95,2.5724,9.96,0.4581,7.89,0.5652,9.7533,0.6831
4325,15.5233,3.3012,9.5,0.3826,7.5833,0.3851,9.4933,0.4229
4350,15.6067,3.7796,9.14,0.1575,7.4167,0.2213,8.8333,0.3167
4375,14.3133,3.4242,8.88,0.4599,7.3433,0.1184,8.6767,0.3104
4400,14.63,3.1355,8.43,0.3982,7.21,0.1071,8.7833,0.205
4425,14.8567,2.2068,8.8467,0.3118,7.3267,0.3114,8.9033,0.2034
4450,14.42,1.0988,9.1367,0.3231,7.2667,0.5186,9.19,0.3488
4475,14.4067,0.2664,9.2233,0.3856,7.2733,0.229,9.2233,0.5802
4500,15.09,0.9157,9.5033,0.2843,7.3833,0.1173,9.4367,0.4584
4525,15.9667,0.7064,9.8967,0.2179,7.6033,0.3066,9.69,0.4495
4550,16.0933,0.8328,9.65,0.2486,7.4533,0.3719,9.6267,0.7714
4575,15.7533,1.423,9.5033,0.6785,7.29,0.2922,9.3133,0.4558
4600,15.4367,2.0358,9.1933,0.1078,7.1267,0.2623,9.0467,0.4371
4625,15.6967,2.2147,8.6667,0.3478,7.0267,0.291,9.0133,0.3934
4650,16.9467,2.2139,8.6467,0.1763,7.1733,0.2472,9.03,0.5884
4675,18.0633,2.3965,8.5033,0.7289,7.3933,0.2294,9.3833,0.7068
4700,18.6133,2.2602,9.0967,0.576,7.67,0.3905,10.1267,0.9459
4725,17.1333,1.8547,9.1933,0.7489,7.5333,0.2788,10.0167,0.4599
4750,16.46,2.3906,9.66,0.5452,7.86,0.6602,10.0,0.3505
4775,16.6933,1.3402,9.9433,0.445,7.75,0.2393,10.1167,0.4472
4800,16.2667,1.5692,9.39,0.6002,7.3633,0.0694,9.0233,0.3377
4825,16.7033,1.6694,9.4833,0.9565,7.4833,0.2042,9.11,0.7003
4850,16.01,0.6506,9.17,0.4614,7.1633,0.4106,9.3367,0.2883
4875,15.8833,0.6459,9.73,0.4917,7.5933,0.1791,9.8533,0.5279
4900,16.6167,1.2834,10.0,0.3344,7.9867,0.0579,10.7233,0.3133
4925,16.87,1.0808,9.7167,0.4767,7.9067,0.3591,10.6533,0.5815
4950,17.03,2.0554,9.3867,0.5682,7.8533,0.7032,10.4967,0.6809
4975,16.3867,2.1526,8.5633,0.8953,7.4433,0.9698,9.74,0.6276
