Episode,PPO mean,PPO std,Double DQN mean,Double DQN std,DQN mean,DQN std,Q-learning mean,Q-learning std
3525,0.4133,0.0544,0.0733,0.0125,0.0567,0.0125,0.0233,0.0094
3550,0.4,0.0424,0.09,0.0141,0.06,0.0082,0.0233,0.0125
3575,0.3933,0.0386,0.11,0.0141,0.0633,0.017,0.0233,0.017
3600,0.36,0.0216,0.0833,0.0125,0.0633,0.0236,0.02,0.0141
3625,0.3267,0.0411,0.0867,0.0125,0.06,0.0141,0.02,0.0141
3650,0.3233,0.0309,0.08,0.0141,0.07,0.0141,0.0167,0.0094
3675,0.33,0.0216,0.0733,0.0094,0.06,0.0216,0.0133,0.0094
3700,0.32,0.0082,0.0767,0.017,0.0833,0.0205,0.01,0.0082
3725,0.32,0.0082,0.0767,0.0205,0.0933,0.0094,0.01,0.0082
3750,0.3033,0.0236,0.0733,0.0287,0.09,0.0141,0.01,0.0141
3775,0.3067,0.0249,0.07,0.0294,0.1,0.0163,0.01,0.0141
3800,0.3267,0.0094,0.08,0.0163,0.09,0.0294,0.0133,0.0125
3825,0.3367,0.0309,0.0867,0.0125,0.0833,0.0368,0.0133,0.0125
3850,0.3533,0.0287,0.0933,0.017,0.07,0.0245,0.0167,0.0047
3875,0.3267,0.0262,0.0867,0.0262,0.07,0.0327,0.02,0.0082
3900,0.3267,0.0573,0.08,0.0141,0.0533,0.0189,0.0167,0.0094
3925,0.3233,0.0478,0.06,0.0082,0.0433,0.0205,0.0133,0.0125
3950,0.36,0.049,0.0533,0.0125,0.0633,0.0262,0.0167,0.0094
3975,0.3933,0.0309,0.07,0.0216,0.06,0.0,0.0133,0.0047
4000,0.4167,0.0309,0.07,0.0082,0.0633,0.0047,0.0167,0.0047
4025,0.4133,0.0368,0.0733,0.0094,0.0733,0.0125,0.0167,0.0047
4050,0.38,0.0424,0.0733,0.0047,0.0767,0.0205,0.01,0.0082
4075,0.3967,0.0544,0.06,0.0216,0.0867,0.0094,0.01,0.0
4100,0.3633,0.0544,0.06,0.0082,0.09,0.0082,0.0133,0.0047
4125,0.3933,0.0713,0.0533,0.0125,0.09,0.0216,0.02,0.0082
4150,0.3867,0.068,0.0633,0.017,0.0767,0.017,0.0167,0.0047
4175,0.39,0.0726,0.08,0.0082,0.07,0.0245,0.02,0.0082
4200,0.4,0.099,0.0733,0.017,0.07,0.0141,0.0167,0.0094
4225,0.3667,0.0946,0.0767,0.017,0.0733,0.0047,0.02,0.0082
4250,0.3633,0.0618,0.07,0.0216,0.0867,0.0125,0.0267,0.0125
4275,0.33,0.0432,0.0567,0.0094,0.08,0.0141,0.03,0.0163
4300,0.3433,0.0262,0.0633,0.0125,0.0833,0.0047,0.0267,0.0125
4325,0.36,0.0432,0.0767,0.0125,0.0833,0.0047,0.0233,0.0047
4350,0.38,0.051,0.07,0.0216,0.0767,0.0236,0.0233,0.0094
4375,0.3833,0.0544,0.0867,0.0047,0.0867,0.0368,0.0167,0.0125
4400,0.3633,0.0556,0.0833,0.0125,0.07,0.0408,0.02,0.0141
4425,0.3767,0.0591,0.0833,0.017,0.0667,0.045,0.0233,0.017
4450,0.3767,0.0531,0.0967,0.0262,0.0567,0.0262,0.0233,0.0205
4475,0.3767,0.033,0.0933,0.0205,0.0633,0.0249,0.0267,0.0249
4500,0.4,0.0141,0.08,0.0216,0.0767,0.0189,0.03,0.0163
4525,0.3667,0.0205,0.0733,0.0262,0.0767,0.0094,0.0267,0.017
4550,0.3567,0.0525,0.0833,0.034,0.0967,0.0411,0.0233,0.0094
4575,0.34,0.0455,0.0733,0.0236,0.0867,0.0189,0.0267,0.0125
4600,0.35,0.0374,0.0967,0.0368,0.0867,0.0205,0.03,0.0163
4625,0.3833,0.0556,0.0867,0.034,0.0867,0.0094,0.0267,0.0125
4650,0.3667,0.0492,0.08,0.0163,0.0833,0.0205,0.0333,0.0094
4675,0.38,0.0455,0.0867,0.017,0.0867,0.017,0.0233,0.0047
4700,0.3733,0.0478,0.0867,0.0125,0.0867,0.0094,0.0233,0.0047
4725,0.3433,0.0189,0.0867,0.0189,0.09,0.0082,0.0233,0.0047
4750,0.3767,0.0047,0.0867,0.0386,0.0833,0.033,0.0167,0.0094
4775,0.3867,0.017,0.08,0.0374,0.0667,0.0309,0.02,0.0082
4800,0.37,0.0163,0.08,0.0327,0.0633,0.017,0.02,0.0163
4825,0.4,0.0294,0.0833,0.017,0.07,0.0082,0.02,0.0163
4850,0.39,0.0408,0.0733,0.0094,0.0733,0.0205,0.02,0.0216
4875,0.3767,0.0205,0.08,0.0082,0.1,0.0283,0.02,0.0216
4900,0.38,0.0245,0.07,0.0082,0.1067,0.045,0.0133,0.0047
4925,0.37,0.0455,0.0733,0.0125,0.0967,0.0377,0.0167,0.0047
4950,0.3767,0.0741,0.08,0.0,0.1033,0.0411,0.0133,0.0047
4975,0.3833,0.0419,0.08,0.0163,0.0833,0.0386,0.0133,0.0125
